Income,Tenure,FICO,Origination,Amount,Grade
75000,6 years,672,May-30-2019,27650,B
180018,10+ years,702,Apr-12-2019,4800,D
98000,5 years,807,Apr-25-2019,38400,A
100060,10+ years,682,Apr-10-2019,10000,B
125067,2 years,772,Apr-10-2019,5000,B
298083,6 years,717,May-30-2019,10000,A
120082,6 years,732,May-24-2019,40000,A
55000,10+ years,692,May-03-2019,8000,C
,1 year,737,May-25-2019,12000,A
68000,1 year,797,Jun-22-2019,8000,B
112070,0 years,682,May-01-2019,24000,A
31000,2 years,792,Jun-13-2019,10625,C
90000,10+ years,737,May-13-2019,13500,B
75000,9 years,727,Apr-15-2019,15000,A
150095,4 years,767,"NA",3000,A
70000,10+ years,662,May-23-2019,1800,D
58800,2 years,767,Apr-03-2019,6000,A
35000,9 years,757,Apr-28-2019,4000,A
90400,0 years,727,Jun-19-2019,21000,C
60000,10+ years,667,Jun-13-2019,10000,D
108016,4 years,762,May-18-2019,3675,A
99000,10+ years,712,Apr-29-2019,11700,D
93000,10+ years,672,Jun-03-2019,30000,D
94742,10+ years,687,May-18-2019,30000,D
55000,1 year,752,n/a,n/a,B
"NA",10+ years,807,Jun-09-2019,8500,A
60000,10+ years,752,Jun-15-2019,2100,B
45000,5 years,707,Jun-23-2019,6000,A
31200,1 year,697,May-08-2019,7500,C
40000,1 year,687,Jun-19-2019,5400,B
32000,3 years,697,Jun-22-2019,4000,D
60000,10+ years,787,Apr-27-2019,9000,A
99000,3 years,717,Apr-05-2019,6400,C
112024,10+ years,732,Apr-26-2019,25525,B
125034,8 years,667,May-14-2019,20425,D
350001,10+ years,712,Apr-12-2019,3175,D
110100,10+ years,677,Apr-27-2019,6000,D
55000,1 year,677,Jun-02-2019,15000,C
87400,4 years,742,May-31-2019,11000,B
75000,4 years,692,Apr-13-2019,18000,A
40000,10+ years,747,May-19-2019,5000,D
,4 years,757,Apr-25-2019,36000,A
54000,5 years,707,n/a,3000,A
650046,0 years,717,Jun-09-2019,n/a,A
52000,9 years,717,n/a,3850,B
115009,6 years,727,May-03-2019,15000,A
55000,7 years,777,May-01-2019,16000,C
90000,1 year,762,May-05-2019,9000,A
109021,6 years,792,Jun-05-2019,11500,A
90000,7 years,727,Apr-14-2019,15000,C
70000,0 years,717,May-04-2019,15950,C
110048,3 years,747,May-07-2019,3000,B
74000,10+ years,712,Jun-25-2019,22000,B
200098,5 years,697,n/a,12750,D
180088,10+ years,677,May-22-2019,1000,C
28000,10+ years,677,Apr-04-2019,n/a,D
78000,10+ years,707,,6500,B
43000,10+ years,712,May-05-2019,10000,D
130079,10+ years,687,Jun-19-2019,22000,C
60000,4 years,672,Apr-20-2019,12000,C
73000,10+ years,782,Apr-07-2019,6500,B
n/a,0 years,737,Jun-21-2019,19000,A
60000,3 years,732,Jun-23-2019,10000,B
40000,5 years,662,Jun-26-2019,1000,D
60000,3 years,742,May-11-2019,8500,A
n/a,2 years,697,May-03-2019,12000,C
49000,5 years,727,May-22-2019,6000,A
56300,5 years,692,May-07-2019,12800,A
140019,1 year,662,Apr-11-2019,15000,D
99913,8 years,832,Jun-15-2019,23000,A
70000,1 year,757,May-20-2019,40000,A
65413,0 years,697,Jun-09-2019,,B
175011,3 years,717,Jun-06-2019,32000,B
105036,10+ years,692,Jun-04-2019,18000,D
